lat,lon,region,rooms,area,building_type
54.946627,82.969523,9654,3,59.0,3
55.0303931,83.0155452,9654,1,48.94,1
54.943577,82.95886,9654,1,41.36,1
54.9412979,82.9616935,9654,3,59.02,1
55.0139939,83.0033194,9654,3,87.39,1
55.0303931,83.0155452,9654,1,33.58,1
55.0303931,83.0155452,9654,3,87.39,1
55.020946,83.008599,9654,2,59.0,1
55.0303931,83.0155452,9654,1,48.94,1
54.943893,82.96749,9654,3,74.0,1
55.0303931,83.0155452,9654,1,33.58,1
55.0128402,83.0018862,9654,1,33.58,1
55.0303931,83.0155452,9654,1,41.36,1
55.0273592,82.926903,9654,5,294.0,3
54.9457305,82.9618646,9654,2,56.14,1
55.012889,83.000083,9654,1,48.94,1
54.9471407,82.9585961,9654,1,33.58,1
54.943199,82.956066,9654,1,23.0,1
55.0303931,83.0155452,9654,1,39.35,1
55.013916,83.00329,9654,3,59.02,1
55.0303931,83.0155452,9654,2,63.85,1
55.0144633,83.0020738,9654,1,58.0,1
55.017212,83.00393,9654,1,33.0,1
54.945236,82.961357,9654,1,43.0,1
54.9807026,82.9036905,9654,3,123.0,3
55.012889,83.000083,9654,1,58.0,1
54.9644368,82.9450065,9654,2,74.6,0
54.943893,82.96749,9654,1,42.0,1
54.946224,82.968031,9654,1,39.35,1
55.0303931,83.0155452,9654,3,59.02,1
54.9471407,82.9585961,9654,1,39.35,1
55.028191,82.9211489,9654,3,73.0,1
54.945609,82.96027,9654,1,33.58,1
54.946917,82.973008,9654,1,41.36,1
54.946644,82.96875,9654,1,33.0,1
54.947346,82.97016,9654,1,32.47,1
55.013916,83.00329,9654,3,87.39,1
54.944528,82.973987,9654,3,59.02,1
55.0303931,83.0155452,9654,3,59.02,1
54.943577,82.95886,9654,1,39.35,1
55.0303931,83.0155452,9654,1,41.36,1
54.956864,82.958114,9654,2,43.0,1
54.9471407,82.9585961,9654,3,59.0,1
54.945609,82.96027,9654,1,33.58,1
54.945236,82.961357,9654,1,39.0,1
54.944443,82.9584,9654,2,59.0,1
54.975311,83.0912349,9654,2,59.0,3
54.942853,82.96,9654,3,87.39,1
54.945536,82.966612,9654,1,32.47,1
54.94656,82.970744,9654,1,39.02,1
55.012889,83.000083,9654,2,63.85,1
55.102112,82.975353,9654,1,30.0,3
55.004809,82.970645,9654,1,32.1,3
55.086589,82.641691,9654,2,44.0,1
54.944957,82.96274,9654,1,32.45,1
54.94443,82.95908,9654,2,63.13,1
55.12549,61.470306,5282,2,57.6,1
55.0168082,83.0089087,9654,3,59.02,1
55.1182371,82.9174588,9654,1,38.0,3
54.947372,82.972307,9654,1,43.0,1
55.0168082,83.0089087,9654,1,40.6,1
54.947372,82.972307,9654,1,41.85,1
54.946948,82.970115,9654,3,59.02,1
54.498857,86.3745029,2860,1,30.0,1
54.6162535,83.2815628,9654,2,44.0,1
55.0128402,83.0018862,9654,2,63.13,1
54.945536,82.966612,9654,2,58.75,1
55.0303931,83.0155452,9654,1,48.0,1
55.0139939,83.0033194,9654,3,87.39,1
55.017756,83.003578,9654,1,33.58,1
54.947372,82.972307,9654,2,58.0,1
55.0169091,83.0067324,9654,3,73.0,1
55.017756,83.003578,9654,1,41.36,1
55.014108,83.0016615,9654,1,32.47,1
54.9449409,82.971643,9654,2,56.14,1
54.947755,82.971634,9654,1,32.45,1
55.017756,83.003578,9654,1,48.9,1
55.017756,83.003578,9654,1,48.95,1
54.945857,82.967924,9654,1,42.0,1
